width_mult,filters,param_count,macs_m,macallan_tflite_int8_accuracy,jetson_gpu_accuracy,jetson_strict_dla_accuracy,gpu_latency_ms_run_mean,gpu_latency_ms_run_sd,strict_dla_latency_ms_run_mean,strict_dla_latency_ms_run_sd,dla_over_gpu_latency_ratio,dla_minus_gpu_ms,faster_device,run_count
0.25,"32,32,32,32,32,32,32,32",66499,16.515,0.9337016574585635,0.9318600368324125,0.9300184162062614,0.14153086114180477,0.0009827901490198762,0.2065068664211173,0.007597573884495227,1.4590942551689188,0.06497600527931252,gpu,5
0.5,"32,32,32,32,32,32,64,64",103715,17.105,0.9668508287292817,0.9668508287292819,0.9686924493554327,0.14261777544505833,0.0007782089087586397,0.20574113333333335,0.00812230996653583,1.4426051219161842,0.06312335788827503,gpu,5
1,"32,32,32,64,64,64,96,128",279779,24.773,0.9742173112338858,0.9760589318600367,0.9742173112338858,0.14775105303867403,0.0013651988725738506,0.20385146273787597,0.0014410889767705539,1.3796954982413396,0.056100409699201936,gpu,5
2,"64,64,64,96,96,128,192,256",992451,86.115,0.988950276243094,0.988950276243094,0.988950276243094,0.15339498919582567,0.001924693539087868,0.22718632510742784,0.004089470447531829,1.4810544092636517,0.07379133591160217,gpu,5
4,"96,128,128,192,192,256,384,512",3919267,302.286,0.992633517495396,0.9926335174953959,0.9926335174953959,0.18907638084714548,0.004436608917476532,0.30295104027010433,0.009455646408039477,1.6022680300561616,0.11387465942295885,gpu,5
8,"192,256,256,384,384,512,768,1024",15653699,1203.834,0.998158379373849,0.9981583793738491,0.9981583793738491,0.3102797600982198,0.004153620757534808,0.5642858008594229,0.008203533728848411,1.8186355458080699,0.25400604076120314,gpu,5
16,"384,512,512,768,768,1024,1536,2048",62568067,4804.712,,1,1,0.6293913841620626,0.0010432441825516618,2.7530428550030694,0.010546500659296291,4.374134956849339,2.123651470841007,gpu,5
