tag,width_mult,filters,param_count,macs_m
w0_25,0.25,"32,32,32,32,32,32,32,32",66499,16.515
w0_5,0.5,"32,32,32,32,32,32,64,64",103715,17.105
w1_0,1,"32,32,32,64,64,64,96,128",279779,24.773
w2_0,2,"64,64,64,96,96,128,192,256",992451,86.115
w4_0,4,"96,128,128,192,192,256,384,512",3919267,302.286
w8_0,8,"192,256,256,384,384,512,768,1024",15653699,1203.834
w16_0,16,"384,512,512,768,768,1024,1536,2048",62568067,4804.712
